Nombre,Comuna,Tipo,Dependencia,Latitud,Longitud
SAPU Trinidad,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.547094,-70.608477
SAPU Santa Laura,El Bosque,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.546191,-70.683983
Centro Comunitario de Salud Familiar Santa Laura,El Bosque,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.546159,-70.684162
Centro Comunitario de Salud Familiar Millalemu,La Granja,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.545813,-70.613171
Centro de Salud Familiar La Bandera,San Ramón,Centro de Salud Familiar (CESFAM),Municipal,-33.545428,-70.644824
Centro de Salud Familiar Santa Amalia,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.54375,-70.592829
SAPU Santa Amalia,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.543587,-70.592865
Centro Comunitario de Salud Familiar Futramapu,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,-33.540195,-70.770043
SAPU Eduardo Frei Montalva,La Cisterna,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.539064,-70.662494
Centro de Salud Familiar Eduardo Frei Montalva,La Cisterna,Centro de Salud Familiar (CESFAM),Municipal,-33.538937,-70.66238
Centro Odontológico Uno Salud Dental La Cisterna,La Cisterna,Clínica Dental,Privado,-33.53842,-70.663503
COSAM La Granja,La Granja,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.538159,-70.61477
Centro Comunitario de Salud Familiar San Gregorio,La Granja,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.53809,-70.614609
SAPU San Ramón,San Ramón,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.537991,-70.640711
Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón),San Ramón,Centro de Salud Familiar (CESFAM),Municipal,-33.537986,-70.640552
SAPU La Granja,La Granja,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.537049,-70.633284
Centro de Salud Familiar La Granja,La Granja,Centro de Salud Familiar (CESFAM),Municipal,-33.536995,-70.633668
COSAM La Rinconada,San Ramón,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.536665,-70.640814
Centro Comunitario de Salud Familiar Europa,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,-33.535883,-70.774211
Consultorio Prefectura Sur,La Cisterna,Centro de Salud Privado,Fuerzas Armadas y de Orden (FFAA),-33.53549,-70.67246
Centro Comunitario de Salud Familiar Las Lomas,La Florida,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.535303,-70.557486
Centro de Salud Familiar Pueblo Lo Espejo,Lo Espejo,Centro de Salud Familiar (CESFAM),Municipal,-33.53472,-70.696425
Centro Comunitario de Salud Familiar Eduardo Frei Montalva,La Cisterna,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.533063,-70.651773
Centro de Salud Mutual CChC Lo Espejo,Lo Espejo,Centro de Salud Privado,Privado,-33.532716,-70.704737
Nefrolab,La Cisterna,Centro de Salud Privado,Privado,-33.532417,-70.661224
SAPU Villa O'Higgins,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.531441,-70.604288
Centro de Salud Familiar Villa O'Higgins,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.531236,-70.604217
Centro de Salud Familiar Santa Anselma,La Cisterna,Centro de Salud Familiar (CESFAM),Municipal,-33.529594,-70.667368
Centro de Salud Familiar Dr. Carlos Godoy,Maipú,Centro de Salud Familiar (CESFAM),Municipal,-33.52776,-70.796393
Centro de Salud Familiar Malaquías Concha,La Granja,Centro de Salud Familiar (CESFAM),Municipal,-33.527458,-70.621298
Centro Médico y Dental MegaSalud La Florida,La Florida,Centro de Salud Privado,Privado,-33.525628,-70.597703
Centro de Salud Familiar Presidenta Michelle Bachelet,Maipú,Centro de Salud Familiar (CESFAM),Municipal,-33.525395,-70.767836
Centro Odontológico Uno Salud Dental La Concepción,Providencia,Clínica Dental,Privado,-33.423839,-70.616395
Centro de Salud Familiar Julio Acuña Pinzón,Lo Espejo,Centro de Salud Familiar (CESFAM),Municipal,-33.522431,-70.69732
SAR Julio Acuña Pinzón,Lo Espejo,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.522311,-70.697161
Centro Vida Integra de La Florida,La Florida,Centro de Salud Privado,Privado,-33.522276,-70.582734
Clínica Astra La Florida,La Florida,Clínica,Privado,-33.521292,-70.57891
Centro Comunitario de Salud Familiar Modelo,San Ramón,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.519923,-70.642716
SAPU Padre Esteban Gumucio,La Granja,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.519708,-70.624091
Centro de Salud Familiar Padre Esteban Gumucio Vives,La Granja,Centro de Salud Familiar (CESFAM),Municipal,-33.519604,-70.623975
Clínica  Dávila Vespucio,La Florida,Clínica,Privado,-33.519116,-70.596867
Laboratorio Vida Integra,La Florida,Laboratorio Clínico,Privado,-33.51906,-70.596933
Centro de Salud Familiar Bellavista,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.518563,-70.602218
Centro Asistencial AChS La Florida,La Florida,Centro de Salud Privado,Privado,-33.518243,-70.604586
Centro Integramédica La Florida,La Florida,Centro de Salud Privado,Privado,-33.517643,-70.601898
Posta de Salud Rural Las Perdices,La Florida,Posta de Salud Rural (PSR),Municipal,-33.517357,-70.544504
SAPU María Pinto,Maria Pinto,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.517179,-71.124818
Centro Odontológico Uno Salud Dental La Dehesa,Lo Barnechea,Clínica Dental,Privado,-33.352438,-70.520811
Centro de Salud Familiar Adriana Madrid De Costabal,Maria Pinto,Centro de Salud Familiar (CESFAM),Municipal,-33.51714,-71.125008
Integramédica Florida Vespucio,La Florida,Centro de Salud Privado,Privado,-33.517052,-70.601107
Centro Integramédica Oeste,Cerrillos,Centro de Salud Privado,Privado,-33.516665,-70.717478
Centro de Salud Familiar Clara Estrella,Lo Espejo,Centro de Salud Familiar (CESFAM),Municipal,-33.514933,-70.676174
SAPU La Florida,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.514807,-70.585529
SAPU Clara Estrella,Lo Espejo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.514798,-70.676271
Centro de Salud Familiar La Florida,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.514659,-70.585809
Centro de Salud Mutual CChC La Florida,La Florida,Centro de Salud Privado,Privado,-33.514542,-70.608163
Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,Hospital,Servicio de Salud,-33.514161,-70.599148
Centro de Salud Familiar Dra. Ana María Juricic,Maipú,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.514065,-70.796603
SAPU Dra. Ana María Juricic,Maipú,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,-33.513934,-70.79687
Centro Comunitario de Salud Familiar Rinconada de Maipú,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,-33.505544,-70.774159
Centro Vida Integra de San Miguel,San Miguel,Centro de Salud Privado,Privado,-33.513077,-70.657973
Servicios Médicos C y C,Maipú,Centro de Salud Privado,Privado,-33.512836,-70.754789
Centro Comunitario de Salud Familiar Dr. Salvador Allende,San Joaquín,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.512646,-70.636641
SAPU Los Castaños,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.512075,-70.578137
Centro Médico y Dental MegaSalud Maipú,Maipú,Centro de Salud Privado,Privado,-33.511943,-70.7561
Centro de Salud Familiar Los Castaños,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.511875,-70.577975
Clínica Bellolio,Maipú,Clínica,Privado,-33.51122,-70.75455
Integramédica Maipú,Maipú,Centro de Salud Privado,Privado,-33.510992,-70.757709
Centro Odontológico Uno Salud Dental La Florida,La Florida,Clínica Dental,Privado,-33.517152,-70.595254
Centro de Salud Mutual CChC Maipú,Maipú,Centro de Salud Privado,Privado,-33.510897,-70.754901
Centro Comunitario de Salud Familiar Coñimo,San Joaquín,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.51077,-70.623735
Centro de Salud Familiar Recreo,San Miguel,Centro de Salud Familiar (CESFAM),Municipal,-33.510116,-70.64902
Clínica Bupa Santiago,La Florida,Clínica,Privado,-33.509903,-70.598229
COSAM Lo Espejo,Lo Espejo,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.509211,-70.677547
Centro Médico Vida Integra Maipú,Maipú,Centro de Salud Privado,Privado,-33.509209,-70.75471
Centro de Referencia de Salud de Maipú,Maipú,Centro de Referencia de Salud (CRS),Servicio de Salud,-33.508774,-70.771857
Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,Hospital,Servicio de Salud,-33.508212,-70.774248
Centro de Salud Familiar San Luis,Peñalolén,Centro de Salud Familiar (CESFAM),Municipal,-33.508122,-70.577994
SAPU Dental Valledor Tres,Lo Espejo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.507512,-70.694361
Centro de Salud Familiar Dra. Mariela Salgado Zepeda,Lo Espejo,Centro de Salud Familiar (CESFAM),Municipal,-33.507423,-70.694073
SAPU Dra. Mariela Salgado,Lo Espejo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.507337,-70.694295
Centro Odontológico Uno Salud Dental La Florida Dos,La Florida,Clínica Dental,Privado,-33.522432,-70.599597
Centro Médico y Dental RedSalud,San Miguel,Centro de Salud Privado,Privado,-33.5066,-70.655096
SAPU Santa Teresa de Los Andes,San Joaquín,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.506319,-70.62454
Centro de Salud Familiar Santa Teresa de Los Andes,San Joaquín,Centro de Salud Familiar (CESFAM),Municipal,-33.506303,-70.624386
Clínica Astra San Miguel,San Miguel,Clínica,Privado,-33.506169,-70.656159
Clínica Astra Maipú,Maipú,Clínica,Privado,-33.50567,-70.75697
Centro de Salud Familiar Dr. José Eduardo Ahués Salame,Maipú,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.505433,-70.774352
Centro Médico Clínica Hospital Profesor,Maipú,Centro de Salud Privado,Privado,-33.505203,-70.756495
SAR San Miguel,San Miguel,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.504957,-70.642698
SAPU Maipú,Maipú,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,-33.504336,-70.758607
Centro de Salud Familiar Maipú,Maipú,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.504315,-70.75815
Centro Asistencial AChS Maipú,Maipú,Centro de Salud Privado,Privado,-33.504193,-70.757091
SAPU San Luis,Peñalolén,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.503774,-70.574054
Centro Comunitario de Salud Familiar Atacama,San Miguel,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.503742,-70.662713
Posta de Salud Rural Pichi,Alhué,Posta de Salud Rural (PSR),Municipal,-33.984427,-71.063058
SAR Dr. Amador Neghme R.,Pedro Aguirre Cerda,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.503567,-70.675846
Centro de Salud Familiar Amador Neghme,Pedro Aguirre Cerda,Centro de Salud Familiar (CESFAM),Municipal,-33.503461,-70.676059
COSAM Maipú,Maipú,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.502803,-70.769791
Centro de Salud Familiar Villa Sur,Pedro Aguirre Cerda,Centro de Salud Familiar (CESFAM),Municipal,-33.501583,-70.680724
Centro de Salud Familiar Félix de Amesti,Macul,Centro de Salud Familiar (CESFAM),Municipal,-33.501502,-70.593927
Centro de Salud Familiar Enfermera Sofía Pincheira,Cerrillos,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.501479,-70.733545
SAR Enfermera Sofía Pincheira,Cerrillos,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Servicio de Salud,-33.501479,-70.733545
"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,Hospital,Servicio de Salud,-33.501328,-70.579408
Centro de Referencia de Salud Cordillera Oriente,Peñalolén,Centro de Referencia de Salud (CRS),Servicio de Salud,-33.500951,-70.579232
Laboratorio Clínico Holanda Ltda.,Maipú,Laboratorio Clínico,Privado,-33.500558,-70.759935
Centro Comunitario de Salud Familiar Dr. Miguel Enríquez Espinosa,Pedro Aguirre Cerda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.500272,-70.685521
San Nicolás,San Miguel,Laboratorio Clínico,Privado,-33.499819,-70.653569
Centro Comunitario de Salud Familiar Martín Henríquez,San Joaquín,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.498912,-70.632734
Centro Comunitario de Salud Familiar Reverendo Javier Peró,San Joaquín,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.498147,-70.624107
Consultorio Escuela de formación policial de Carabineros de Chile,Cerrillos,Centro de Salud Privado,Fuerzas Armadas y de Orden (FFAA),-33.497702,-70.708225
Centro Médico San Joaquín Red de Salud UC CHRISTUS,Macul,Centro de Salud Privado,Privado,-33.497116,-70.614619
Centro Comunitario de Salud Familiar Bueras,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.496471,-70.763053
Clínica Cima Salud,San Miguel,Clínica,Privado,-33.495624,-70.652403
Global Help,Macul,Vacunatorio,Privado,-33.494888,-70.591663
COSAM Cerrillos,Cerrillos,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.493615,-70.708752
Centro Odontológico Uno Salud Dental La Reina,La Reina,Clínica Dental,Privado,-33.438498,-70.560278
Centro de Salud Familiar Padre Alberto Hurtado,Macul,Centro de Salud Familiar (CESFAM),Municipal,-33.493484,-70.615109
SAPU Dr. Norman Voulliéme,Cerrillos,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,-33.493334,-70.719326
Centro de Salud Familiar Dr. Norman Voulliéme,Cerrillos,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.49331,-70.719201
COSAM Pedro Aguirre Cerda,Pedro Aguirre Cerda,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.492859,-70.669761
Centro de Especialidades Clinicas spa (medicec),Macul,Centro de Salud Privado,Privado,-33.492637,-70.59538
Centro Clínico Ochagavía,Pedro Aguirre Cerda,Centro de Salud Privado,Privado,-33.492317,-70.667549
Centro de Salud Familiar Arturo Baeza Goñi,San Joaquín,Centro de Salud Familiar (CESFAM),Municipal,-33.491964,-70.633221
COSAM San Joaquín,San Joaquín,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.49184,-70.638206
Centro de diagnóstico y resonancia - Anestimagen,San Miguel,Centro de Salud Privado,Privado,-33.491088,-70.655977
Clínica Psiquiátrica Nelly Vergara,San Miguel,Clínica,Privado,-33.490599,-70.643089
Multimédica Ltda.,San Miguel,Centro de Salud Privado,Privado,-33.490566,-70.652185
Clínica San Miguel,San Miguel,Clínica,Privado,-33.490167,-70.648486
Centro de Salud Familiar Clotario Blest,Maipú,Centro de Salud Familiar (CESFAM),Municipal,-33.490025,-70.744879
Centro Integramédica San Miguel,San Miguel,Centro de Salud Privado,Privado,-33.489979,-70.652032
Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria),Pedro Aguirre Cerda,Centro de Salud Familiar (CESFAM),Municipal,-33.48971,-70.676018
SAPU La Feria,Pedro Aguirre Cerda,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.489687,-70.676158
Posta de Salud Rural San Antonio de Naltagua,Isla de Maipo,Posta de Salud Rural (PSR),Municipal,-33.733138,-71.022642
Centro de Salud Familiar Lo Valledor Norte,Pedro Aguirre Cerda,Centro de Salud Familiar (CESFAM),Municipal,-33.488282,-70.686377
Clínica Universidad de Chile Quilín,Peñalolén,Clínica,Privado,-33.48819,-70.57609
Centro Asistencial AChS San Miguel,San Miguel,Centro de Salud Privado,Privado,-33.486876,-70.647989
SAR Enrique Molina,San Joaquín,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.486624,-70.623535
Centro de Salud Familiar San Joaquín,San Joaquín,Centro de Salud Familiar (CESFAM),Municipal,-33.486494,-70.623533
Corporación Renal Infantil Mater,San Miguel,Centro de Salud Privado,Privado,-33.486209,-70.655952
Unidad de Salud FuncionarioS.S Metropolitano Sur,San Miguel,Unidad de Salud Funcionarios,Servicio de Salud,-33.486194,-70.641339
Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Sur),San Miguel,Dirección Servicio de Salud,Servicio de Salud,-33.486194,-70.641339
PRAIS (S.S Metropolitano Sur),San Miguel,Programa de Reparación y Atención Integral de Salud (PRAIS),Servicio de Salud,-33.486194,-70.641339
Clínica del Carmen,Macul,Clínica,Privado,-33.486143,-70.592087
Centro Comunitario de Salud Familiar Sierra Bella,San Joaquín,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.486104,-70.632515
"Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel)",San Miguel,Hospital,Servicio de Salud,-33.485344,-70.645169
"Hospital Barros Luco Trudeau (Santiago, San Miguel)",San Miguel,Hospital,Servicio de Salud,-33.485147,-70.644439
Centro de Imagenología Mamaria Metropolitano,San Miguel,Centro de Especialidades,Servicio de Salud,-33.484821,-70.644294
"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",San Miguel,Hospital,Servicio de Salud,-33.484761,-70.648129
Centro de Salud Familiar Dr. Iván Insunza,Maipú,Centro de Salud Familiar (CESFAM),Municipal,-33.484273,-70.771353
SAPU Dr. Iván Insunza,Maipú,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.48424,-70.771537
Centro Odontológico Uno Salud Dental Las Condes,Las Condes,Clínica Dental,Privado,-33.423283,-70.538838
Centro Médico Alto Tobalaba - Vacunatorio Vacci Protex,Peñalolén,Centro de Salud Privado,Privado,-33.48292,-70.557327
Centro de Salud Familiar Barros Luco,San Miguel,Centro de Salud Familiar (CESFAM),Municipal,-33.48279,-70.648764
Centro de Salud Familiar Edgardo Enríquez Fröedden,Pedro Aguirre Cerda,Centro de Salud Familiar (CESFAM),Municipal,-33.480185,-70.669075
SAPU Edgardo Enríquez Froedden,Pedro Aguirre Cerda,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.47999,-70.669113
Centro Comunitario de Salud Familiar Esperanza Andina,Peñalolén,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.479267,-70.533537
INTEGRAMEDICA S.A. SUCURSAL PEÑALOLEN,Peñalolén,Centro de Salud Privado,Privado,-33.478565,-70.544995
COSAM Macul,Macul,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.478459,-70.594973
Centro Comunitario de Salud Familiar Yalta,San Joaquín,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.478381,-70.636652
Centro Comunitario de Salud Familiar Buzeta,Cerrillos,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,-33.477894,-70.688036
Centro Médico Macul,Macul,Centro de Salud Privado,Privado,-33.477503,-70.599355
SAR Carol Urzúa Ibáñez,Peñalolén,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.476945,-70.543306
Centro de Salud Familiar Lo Hermida,Peñalolén,Centro de Salud Familiar (CESFAM),Municipal,-33.476942,-70.562722
Centro de Salud Familiar Carol Urzúa Ibáñez,Peñalolén,Centro de Salud Familiar (CESFAM),Municipal,-33.476897,-70.542996
Centro de Salud Familiar Santa Julia,Macul,Centro de Salud Familiar (CESFAM),Municipal,-33.476364,-70.592875
SAPU Santa Julia,Macul,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.476164,-70.592841
Hospital Clínico Instituto de Seguridad del Trabajo de Santiago,Santiago,Hospital,Privado,-33.475925,-70.651674
Establecimiento Penitenciario Santiago 1,Santiago,Centro de Salud Privado,Gendamería,-33.475857,-70.656574
Centro Comunitario de Salud Familiar Villa Francia,Estación Central,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,-33.474824,-70.715473
Consultorio Escuela de Suboficiales de Carabineros de Chile,Macul,Centro de Salud Privado,Fuerzas Armadas y de Orden (FFAA),-33.474149,-70.605281
SAPU Lo Hermida,Peñalolén,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.473978,-70.574093
Centro de Salud Familiar Padre Gerardo Whelan,Peñalolén,Centro de Salud Familiar (CESFAM),Municipal,-33.473974,-70.574226
Centro de Salud Familiar San José de Chuchunco,Estación Central,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.473682,-70.705982
SAPU San José de Chuchunco,Estación Central,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,-33.473631,-70.706178
Hospital Penitenciario,Santiago,Hospital,Gendamería,-33.473594,-70.660323
Clínica Macul,Macul,Clínica,Privado,-33.473449,-70.598101
Centro de Salud Familiar Dr. Luis Ferrada,Maipú,Centro de Salud Familiar (CESFAM),Municipal,-33.473168,-70.75602
Centro Comunitario de Salud Familiar Lo Errázuriz,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.473047,-70.725014
Centro de Salud Familiar Padre Vicente Irarrázabal,Estación Central,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.47284,-70.691894
SAPU Padre Vicente Irarrázabal,Estación Central,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,-33.472719,-70.692094
COSAM Ñuñoa,Ñuñoa,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.471996,-70.593605
Centro de Salud Familiar Cardenal Silva Henríquez,Peñalolén,Centro de Salud Familiar (CESFAM),Municipal,-33.470387,-70.532225
Clínica Santa Inés,Santiago,Clínica,Privado,-33.47013,-70.64665
Centro de Diálisis Nephrocare San Vicente,Santiago,Centro de Diálisis,Privado,-33.470122,-70.675668
SAPU Rosita Renard,Ñuñoa,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.469329,-70.602479
Centro de Salud Familiar Rosita Renard,Ñuñoa,Centro de Salud Familiar (CESFAM),Municipal,-33.469243,-70.602904
SAPU La Faena,Peñalolén,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.468245,-70.555657
COSAM Peñalolén,Peñalolén,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.468233,-70.555916
Centro de Salud Familiar Arauco,Santiago,Centro de Salud Familiar (CESFAM),Municipal,-33.46803,-70.670454
Centro de Salud Familiar La Faena,Peñalolén,Centro de Salud Familiar (CESFAM),Municipal,-33.467931,-70.556011
Centro Asistencial AChS Egaña,Peñalolén,Centro de Salud Privado,Privado,-33.466797,-70.574961
Posta de Salud Rural Santa Emilia,Maria Pinto,Posta de Salud Rural (PSR),Municipal,-33.466784,-71.102373
Centro de Salud Familiar Padre Orellana,Santiago,Centro de Salud Familiar (CESFAM),Municipal,-33.466621,-70.629593
Centro de Salud Familiar Salvador Bustos,Ñuñoa,Centro de Salud Familiar (CESFAM),Municipal,-33.465998,-70.587774
COSAM Estación Central,Estación Central,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.46567,-70.69349
Clínica Santa Rosa ( ex Madre e Hijo),Santiago,Clínica,Privado,-33.464904,-70.642647
Centro de Salud Familiar Santiago Occidente de Carabineros de Chile,Estación Central,Centro de Salud Privado,Fuerzas Armadas y de Orden (FFAA),-33.464796,-70.726975
Centro Médico y Dental ISP,Ñuñoa,Centro de Salud Privado,Privado,-33.464262,-70.614717
Centro Comunitario de Salud Familiar Villa Olímpica,Ñuñoa,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.464068,-70.620515
Centro Comunitario de Salud Familiar Río Claro,Pudahuel,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.463923,-70.748408
Clínica Juan Pablo II,Santiago,Clínica,Privado,-33.46365,-70.64262
Centro Comunitario de Salud Familiar Padre Félix Gutiérrez Donoso,Pudahuel,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.461681,-70.750213
Centro Comunitario de Salud Familiar Dragones de La Reina,La Reina,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.460591,-70.562234
Hospital Clínico San Borja Arriarán,Santiago,Hospital,Servicio de Salud,-33.460498,-70.64232
Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda,Peñalolén,Hospital,Servicio de Salud,-33.460454,-70.569892
Clínica Psicoterapia los Tiempos,La Reina,Clínica,Privado,-33.460091,-70.568823
Policlínico Institucional de Gendarmería de Chile - Santiago,Santiago,Centro de Salud Privado,Gendamería,-33.458241,-70.637759
Centro de Salud Familiar Dr. Gustavo Molina,Pudahuel,Centro de Salud Familiar (CESFAM),Municipal,-33.458131,-70.76084
SAPU Dr. Gustavo Molina,Pudahuel,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.458104,-70.761149
Vacunatorio Pharmavisan,Ñuñoa,Vacunatorio,Privado,-33.458042,-70.588958
Clínica Hospital del Profesor,Estación Central,Clínica,Privado,-33.457755,-70.702639
Red Salud Santiago ex Clínica Bicentenario,Estación Central,Clínica,Privado,-33.457336,-70.701792
SAPU Violeta Parra,Pudahuel,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.456985,-70.74293
Centro de Salud Familiar Violeta Parra,Pudahuel,Centro de Salud Familiar (CESFAM),Municipal,-33.456935,-70.742752
COSAM La Reina,La Reina,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.456921,-70.533727
Centro de Salud Familiar Juan Pablo II ( La Reina),La Reina,Centro de Salud Familiar (CESFAM),Municipal,-33.456864,-70.532647
Hospital Clínico Mutual de Seguridad C.CH.C.,Estación Central,Hospital,Privado,-33.45676,-70.700784
Instituto Teletón Santiago,Estación Central,Centro de Salud Privado,Privado,-33.456566,-70.699403
Unidad de Salud FuncionarioS.S Metropolitano Central,Santiago,Unidad de Salud Funcionarios,Servicio de Salud,-33.455718,-70.652722
PRAIS (S.S Metropolitano Central),Santiago,Programa de Reparación y Atención Integral de Salud (PRAIS),Servicio de Salud,-33.455718,-70.652722
SAPU Consultorio Nº1,Santiago,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,-33.455638,-70.652567
Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,Santiago,Centro de Salud Familiar (CESFAM),Servicio de Salud,-33.455442,-70.652731
Vacunatorio Medicien_Ñuñoa,Ñuñoa,Vacunatorio,Privado,-33.455441,-70.595222
Centro Comunitario de Salud Familiar María Salas,Curacaví,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,-33.455375,-71.02877
Clínica Pedro Montt,Santiago,Clínica,Privado,-33.455205,-70.653762
Clínica Oriente,Ñuñoa,Clínica,Privado,-33.455177,-70.576257
Centro Vida Integra de Ñuñoa,Ñuñoa,Centro de Salud Privado,Privado,-33.454713,-70.605312
Centro Médico Irarrázaval Red de Salud UC CHRISTUS,Ñuñoa,Centro de Salud Privado,Privado,-33.454705,-70.579456
Vacunatorio Varik,Ñuñoa,Vacunatorio,Privado,-33.45454,-70.606179
VACUNATORIO FASTFARMACHILE,Las Condes,Vacunatorio,Privado,-33.387198,-70.538996
Centro Médico y Dental MegaSalud Ñuñoa,Ñuñoa,Centro de Salud Privado,Privado,-33.45434,-70.607091
Centro Asistencial AChS Alameda,Estación Central,Centro de Salud Privado,Privado,-33.454331,-70.694266
Centro Odontológico Uno Salud Dental Macul,Macul,Clínica Dental,Privado,-33.477511,-70.599467
Integramédica Sucursal Plaza Egaña,La Reina,Centro de Salud Privado,Privado,-33.453162,-70.56969
